EXPEDITION,SITE,HOLE,CORE,CORE_TYPE,SECTION,CC,TOP_DEPTH,BOTTOM_DEPTH,VOLUME,MBSF_TOP,MCD_TOP,HALF,ANALYST,LOCATION,REQUEST,REQUEST_PART,TYPE,SAMPLE_DATE,SAMPLE,IGSN,REMARKS,SUBSAMPLES,code,smp,no,label
342,1411,C,4,H,7,no,61,63,10,109.62,115.97,W,AW,BCR,059822IODP,A,---,3/27/2018 12:00:00 AM,5078833,IBCR0342RXPUU04,,0,IK,1,1,IK1-001
342,1411,C,4,H,7,no,63,65,10,109.64,115.99,W,AW,BCR,059822IODP,A,---,3/27/2018 12:00:00 AM,5078834,IBCR0342RXQUU04,,0,IK,1,2,IK1-002
342,1411,C,5,H,1,no,60,62,10,110.1,118.2,W,AW,BCR,059822IODP,A,---,3/27/2018 12:00:00 AM,5078835,IBCR0342RXRUU04,,0,IK,1,3,IK1-003
342,1411,C,5,H,1,no,62,64,10,110.12,118.22,W,AW,BCR,059822IODP,A,---,3/27/2018 12:00:00 AM,5078836,IBCR0342RXSUU04,,0,IK,1,4,IK1-004
342,1411,C,5,H,1,no,64,66,10,110.14,118.24,W,AW,BCR,059822IODP,A,---,3/27/2018 12:00:00 AM,5078837,IBCR0342RXTUU04,,0,IK,1,5,IK1-005
342,1411,C,5,H,1,no,66,68,10,110.16,118.26,W,AW,BCR,059822IODP,A,---,3/27/2018 12:00:00 AM,5078838,IBCR0342RXUUU04,,0,IK,1,6,IK1-006
342,1411,C,5,H,1,no,68,70,10,110.18,118.28,W,AW,BCR,059822IODP,A,---,3/27/2018 12:00:00 AM,5078839,IBCR0342RXVUU04,,0,IK,1,7,IK1-007
342,1411,B,16,H,5,no,106,108,10,140.66,147.46,W,AW,BCR,059822IODP,A,---,3/28/2018 12:00:00 AM,5078973,IBCR0342RXLYU04,,0,IK,2,26,IK2-026
342,1411,B,16,H,5,no,108,110,10,140.68,147.48,W,AW,BCR,059822IODP,A,---,3/28/2018 12:00:00 AM,5078974,IBCR0342RXMYU04,,0,IK,2,27,IK2-027
342,1411,B,16,H,5,no,110,112,10,140.7,147.5,W,AW,BCR,059822IODP,A,---,3/28/2018 12:00:00 AM,5078975,IBCR0342RXNYU04,,0,IK,2,28,IK2-028
342,1411,B,16,H,5,no,112,114,10,140.72,147.52,W,AW,BCR,059822IODP,A,---,3/28/2018 12:00:00 AM,5078976,IBCR0342RXOYU04,,0,IK,2,29,IK2-029
342,1411,B,16,H,5,no,114,116,10,140.74,147.54,W,AW,BCR,059822IODP,A,---,3/28/2018 12:00:00 AM,5078977,IBCR0342RXPYU04,,0,IK,2,30,IK2-030
342,1411,B,16,H,5,no,116,118,10,140.76,147.56,W,AW,BCR,059822IODP,A,---,3/28/2018 12:00:00 AM,5078978,IBCR0342RXQYU04,,0,IK,2,31,IK2-031
342,1411,C,9,H,1,no,92,94,10,145.42,155.62,W,AW,BCR,059822IODP,A,---,3/28/2018 12:00:00 AM,5079009,IBCR0342RXLZU04,,0,IK,3,17,IK3-017
342,1411,C,9,H,1,no,94,96,10,145.44,155.64,W,AW,BCR,059822IODP,A,---,3/28/2018 12:00:00 AM,5079010,IBCR0342RXMZU04,,0,IK,3,18,IK3-018
342,1411,C,9,H,1,no,96,98,10,145.46,155.66,W,AW,BCR,059822IODP,A,---,3/28/2018 12:00:00 AM,5079011,IBCR0342RXNZU04,,0,IK,3,19,IK3-019
342,1411,C,9,H,1,no,98,100,10,145.48,155.68,W,AW,BCR,059822IODP,A,---,3/28/2018 12:00:00 AM,5079012,IBCR0342RXOZU04,,0,IK,3,20,IK3-020
342,1411,C,9,H,1,no,100,102,10,145.5,155.7,W,AW,BCR,059822IODP,A,---,3/28/2018 12:00:00 AM,5079013,IBCR0342RXPZU04,,0,IK,3,21,IK3-021
342,1411,C,9,H,1,no,102,104,10,145.52,155.72,W,AW,BCR,059822IODP,A,---,3/28/2018 12:00:00 AM,5079014,IBCR0342RXQZU04,,0,IK,3,22,IK3-022
342,1411,C,9,H,1,no,104,106,10,145.54,155.74,W,AW,BCR,059822IODP,A,---,3/28/2018 12:00:00 AM,5079015,IBCR0342RXRZU04,,0,IK,3,23,IK3-023
342,1411,C,9,H,1,no,106,108,10,145.56,155.76,W,AW,BCR,059822IODP,A,---,3/28/2018 12:00:00 AM,5079016,IBCR0342RXSZU04,,0,IK,3,24,IK3-024
342,1411,C,9,H,1,no,108,110,10,145.58,155.78,W,AW,BCR,059822IODP,A,---,3/28/2018 12:00:00 AM,5079017,IBCR0342RXTZU04,,0,IK,3,25,IK3-025
