depth	min95%	max95%	best	accrate
980	30477	31261	30915	44.71
981	30535	31294	30959	44.71
982	30600	31334	31004	44.71
983	30658	31378	31049	44.71
984	30715	31421	31094	44.71
985	30760	31463	31138	44.71
986	30796	31506	31183	44.71
987	30838	31557	31228	44.71
988	30887	31607	31272	44.71
989	30929	31656	31317	44.71
990	30974	31712	31362	44.71
991	31004	31773	31407	44.71
992	31036	31826	31451	44.71
993	31062	31887	31496	44.71
994	31095	31938	31541	44.71
995	31123	31992	31585	44.71
996	31155	32043	31630	44.71
997	31175	32108	31675	44.71
998	31217	32171	31720	44.71
999	31240	32222	31764	44.71
1000	31258	32289	31809	44.71
1001	31285	32359	31854	44.71
1002	31314	32426	31898	44.71
1003	31345	32488	31943	44.71
1004	31369	32545	31988	44.71
1005	31402	32602	32033	44.71
1006	31423	32666	32077	44.71
1007	31439	32729	32122	44.71
1008	31464	32794	32167	44.71
1009	31490	32857	32211	44.71
1010	31517	32920	32256	44.71
1011	31543	32985	32301	44.71
1012	31566	33051	32346	44.71
1013	31582	33116	32390	44.71
1014	31607	33181	32435	44.71
1015	31630	33243	32480	44.71
1016	31657	33311	32524	44.71
1017	31680	33377	32569	44.71
1018	31703	33443	32614	44.71
1019	31726	33511	32659	44.71
1020	31747	33576	32703	94.22
1021	31924	33579	32797	94.22
1022	32121	33605	32892	94.22
1023	32291	33645	32986	94.22
1024	32460	33684	33080	94.22
1025	32600	33765	33174	94.22
1026	32712	33815	33269	94.22
1027	32781	33906	33363	94.22
1028	32824	34056	33457	94.22
1029	32844	34199	33551	94.22
1030	32859	34355	33645	4.55
1031	32928	34330	33650	4.55
1032	32993	34284	33655	4.55
1033	33026	34243	33659	4.55
1034	33057	34207	33664	4.55
1035	33079	34185	33668	4.55
1036	33118	34196	33673	4.55
1037	33134	34198	33677	4.55
1038	33156	34188	33682	4.55
1039	33137	34196	33686	4.55
1040	33131	34221	33691	4.55
1041	33106	34256	33695	4.55
1042	33077	34272	33700	4.55
1043	33035	34309	33705	4.55
1044	32977	34363	33709	4.55
1045	32918	34417	33714	42.34
1046	33024	34403	33756	42.34
1047	33116	34419	33798	42.34
1048	33219	34418	33841	42.34
1049	33281	34443	33883	42.34
1050	33354	34468	33925	42.34
1051	33431	34484	33968	42.34
1052	33508	34508	34010	42.34
1053	33566	34550	34052	42.34
1054	33623	34603	34095	42.34
1055	33677	34659	34137	42.34
1056	33711	34733	34179	42.34
1057	33739	34830	34222	42.34
1058	33762	34916	34264	42.34
1059	33781	34984	34306	42.34
1060	33772	35035	34349	32.14
1061	33846	35055	34381	32.14
1062	33887	35055	34413	32.14
1063	33941	35058	34445	32.14
1064	33979	35065	34477	32.14
1065	34023	35079	34509	32.14
1066	34058	35092	34542	32.14
1067	34078	35092	34574	32.14
1068	34099	35152	34606	32.14
1069	34119	35213	34638	32.14
1070	34128	35298	34670	32.14
1071	34138	35357	34702	32.14
1072	34143	35428	34734	32.14
1073	34148	35495	34766	32.14
1074	34160	35582	34799	32.14
1075	34158	35647	34831	32.14
1076	34163	35735	34863	32.14
1077	34147	35825	34895	32.14
1078	34126	35905	34927	NA
