depth	min95%	max95%	best	accrate
980	29861	31028	30587	45.11
981	29919	31067	30632	45.02
982	29985	31099	30677	44.94
983	30056	31142	30722	44.85
984	30126	31185	30767	44.77
985	30182	31232	30812	44.68
986	30243	31265	30857	44.6
987	30280	31318	30901	44.51
988	30328	31370	30946	44.43
989	30384	31420	30990	44.34
990	30433	31468	31034	44.26
991	30485	31516	31079	44.17
992	30533	31567	31123	44.08
993	30574	31615	31167	44
994	30616	31670	31211	43.91
995	30667	31713	31255	43.83
996	30712	31759	31299	43.74
997	30756	31807	31342	43.66
998	30803	31856	31386	43.57
999	30839	31903	31430	43.49
1000	30881	31953	31473	43.4
1001	30927	32005	31517	43.32
1002	30963	32057	31560	43.23
1003	31000	32106	31603	43.15
1004	31041	32153	31646	43.06
1005	31084	32201	31689	42.98
1006	31122	32247	31732	42.89
1007	31159	32294	31775	42.81
1008	31194	32343	31818	42.72
1009	31228	32395	31861	42.64
1010	31265	32439	31903	42.55
1011	31300	32486	31946	42.47
1012	31332	32534	31988	42.38
1013	31374	32577	32031	42.29
1014	31420	32620	32073	42.21
1015	31460	32664	32115	42.12
1016	31500	32707	32157	42.04
1017	31537	32753	32199	41.95
1018	31574	32797	32241	41.87
1019	31616	32841	32283	41.78
1020	31659	32886	32325	41.7
1021	31690	32928	32367	41.61
1022	31731	32966	32408	41.53
1023	31775	33005	32450	41.44
1024	31822	33047	32491	41.36
1025	31868	33085	32533	41.27
1026	31915	33122	32574	41.19
1027	31961	33159	32615	41.1
1028	32009	33195	32656	41.02
1029	32054	33231	32697	40.93
1030	32101	33268	32738	40.85
1031	32149	33306	32779	40.76
1032	32198	33343	32820	40.67
1033	32238	33380	32860	40.59
1034	32281	33417	32901	40.5
1035	32327	33456	32942	40.42
1036	32371	33494	32982	40.33
1037	32419	33532	33022	40.25
1038	32473	33567	33063	40.16
1039	32514	33603	33103	40.08
1040	32564	33643	33143	39.99
1041	32615	33674	33183	39.91
1042	32662	33704	33223	39.82
1043	32717	33732	33262	39.74
1044	32769	33760	33302	39.65
1045	32816	33789	33342	39.57
1046	32855	33816	33381	39.48
1047	32903	33855	33421	39.4
1048	32953	33885	33460	39.31
1049	33014	33912	33500	39.23
1050	33068	33953	33539	39.14
1051	33112	33996	33578	39.05
1052	33161	34034	33617	38.97
1053	33214	34063	33656	38.88
1054	33266	34097	33695	38.8
1055	33307	34129	33734	38.71
1056	33361	34165	33772	38.63
1057	33410	34194	33811	38.54
1058	33459	34236	33850	38.46
1059	33499	34286	33888	38.37
1060	33541	34326	33926	38.29
1061	33584	34366	33965	38.2
1062	33625	34405	34003	38.12
1063	33661	34455	34041	38.03
1064	33699	34507	34079	37.95
1065	33733	34552	34117	37.86
1066	33769	34586	34155	37.78
1067	33810	34633	34193	37.69
1068	33850	34687	34230	37.61
1069	33878	34755	34268	37.52
1070	33908	34808	34305	37.43
1071	33922	34874	34343	37.35
1072	33946	34933	34380	37.26
1073	33976	34994	34418	37.18
1074	33994	35065	34455	37.09
1075	34016	35128	34492	37.01
1076	34026	35190	34529	36.92
1077	34043	35248	34566	36.84
1078	34054	35306	34603	NA
