depth	min95%	max95%	best	acc.rate
1005	31401	32118	31780	44.67
1015	31840	32566	32222	43.59
1025	32265	32987	32651	41.94
1035	32698	33355	33058	39.09
1045	33111	33721	33439	37.16
1050	33323	33903	33624	36.51
1055	33503	34084	33805	35.93
1065	33830	34524	34160	34.98
1075	34114	34996	34507	34.57
1085	34369	35474	34853	34.55
1095	34608	35957	35198	34.55
1100	34732	36195	35371	34.55
1110	34955	36683	35716	34.55
1120	35172	37163	36062	34.55
1130	35398	37635	36407	34.55
1140	35608	38122	36753	34.55
1150	35831	38625	37098	34.55
1160	36035	39133	37444	34.55
1170	36258	39635	37789	34.55
1180	36476	40137	38135	34.55
1190	36680	40631	38480	34.55
1199	36865	41055	38791	34.55
1210	37090	41606	39171	34.55
1220	37296	42128	39517	34.55
1230	37519	42643	39862	34.55
1240	37744	43147	40208	34.55
1250	37955	43647	40553	34.55
1260	38166	44150	40899	34.55
1280	38590	45171	41590	34.55
1290	38798	45686	41935	34.55
1300	39009	46209	42281	34.55
1310	39219	46731	42626	34.55
1320	39430	47254	42972	34.55
1330	39640	47776	43317	34.55
1340	39851	48299	43663	34.55
1350	40061	48821	44009	34.55
1360	40272	49343	44354	34.55
1370	40482	49854	44700	34.55
1380	40692	50365	45045	34.55
1390	40903	50875	45391	34.55
1400	41113	51385	45736	34.55
1410	41324	51895	46082	34.55
1420	41532	52405	46427	34.55
1430	41732	52909	46773	34.55
1440	41932	53412	47118	34.55
1450	42132	53915	47464	34.55
1460	42332	54418	47809	34.55
1470	42532	54921	48155	34.55
1480	42732	55424	48500	34.55
1485	42832	55675	48673	34.55
1490	42932	55927	48846	34.55
1495	43032	56178	49018	34.55
1500	43134	56429	49191	34.55
1505	43240	56681	49364	34.55
1510	43346	56932	49537	34.55
1550	44191	58974	50919	34.55
1560	44403	59486	51264	34.55
1570	44614	59999	51610	34.55
1580	44825	60511	51955	34.55
1590	45037	61023	52301	34.55
1600	45248	61535	52646	34.55
1610	45460	62047	52992	34.55
1620	45671	62560	53337	34.55
1630	45882	63066	53683	34.55
1640	46094	63569	54028	34.55
1650	46305	64071	54374	34.55
1670	46728	65078	55065	34.55
1680	46940	65588	55410	34.55
1710	47574	67118	56447	34.55
1740	48208	68649	57483	34.55
1760	48631	69663	58174	34.55
1780	49054	70672	58865	34.55
1790	49265	71176	59211	34.55
1800	49476	71681	59556	34.55
1805	49582	71933	59729	34.55
1810	49688	72185	59902	34.55
1815	49794	72437	60074	34.55
1820	49899	72689	60247	34.55
1825	50005	72941	60420	34.55
1830	50111	73194	60593	34.55
1835	50216	73446	60765	34.55
1840	50322	73698	60938	34.55
1845	50428	73950	61111	34.55
1855	50639	74454	61456	34.55
1860	50745	74707	61629	34.55
1865	50851	74959	61802	34.55
1870	50956	75211	61975	34.55
1875	51062	75463	62147	34.55
1880	51168	75715	62320	34.55
1885	51273	75967	62493	34.55
1890	51379	76220	62666	34.55
1895	51485	76472	62838	34.55
1900	51591	76724	63011	34.55
1905	51696	76976	63184	34.55
1910	51802	77228	63357	34.55
1930	52225	78237	64048	34.55
1935	52331	78489	64220	34.55
1940	52436	78741	64393	34.55
1945	52542	78993	64566	34.55
1950	52648	79246	64739	34.55
1955	52753	79498	64912	34.55
1960	52859	79750	65084	34.55
1965	52965	80002	65257	34.55
1970	53070	80254	65430	34.55
1975	53176	80506	65603	34.55
1980	53282	80759	65775	34.55
1985	53388	81011	65948	34.55
1990	53493	81263	66121	34.55
1995	53599	81515	66294	34.55
2000	53705	81767	66466	34.55
2005	53810	82019	66639	34.55
2010	53916	82272	66812	34.55
2015	54022	82524	66985	34.55
2020	54128	82776	67157	34.55
2025	54233	83028	67330	34.55
2030	54339	83280	67503	34.55
2035	54445	83532	67676	34.55
2040	54550	83785	67848	34.55
2042	54593	83886	67917	34.55
2045	54656	84037	68021	34.55
2047	54698	84138	68090	34.55
2050	54762	84289	68194	34.55
2055	54867	84541	68367	34.55
2060	54973	84793	68539	34.55
2065	55078	85045	68712	34.55
2070	55183	85298	68885	34.55
2075	55287	85550	69058	34.55
2080	55392	85802	69230	34.55
2085	55496	86054	69403	34.55
2090	55601	86306	69576	34.55
2105	55915	87063	70094	34.55
2107	55956	87164	70163	34.55
2110	56019	87315	70267	34.55
2115	56124	87567	70440	34.55
2120	56228	87819	70612	34.55
2125	56333	88072	70785	34.55
2130	56438	88324	70958	34.55
2135	56542	88576	71131	34.55
2140	56647	88828	71303	34.55
2145	56751	89080	71476	34.55
2150	56856	89332	71649	34.55
2155	56961	89585	71822	34.55
2160	57065	89837	71994	34.55
2165	57170	90089	72167	34.55
2170	57274	90341	72340	34.55
2175	57379	90593	72513	34.55
2180	57483	90845	72685	34.55
2190	57693	91350	73031	34.55
2200	57902	91854	73376	NA
