SampleID,Height,CaCO3,TN,del13Ctoc,TOCcfb,Al2O3 (%),Na2O (%),K2O (%),Strat,Strat2 ,Section,Reference
0,3.01,13.34,0.06,-27.5,1.16,15.6,0.62,3.25,Contorta Beds,Pre-event Beds,Bonenburg,new data
60,3.56,2.67,NA,-25.5,0.27,13.1,1.27,3.33,Contorta Beds,Pre-event Beds,Bonenburg,new data
100,3.95,3.84,0.07,-27.3,0.96,17.4,0.55,3.54,Contorta Beds,Pre-event Beds,Bonenburg,new data
150,4.43,5.86,0.07,-27,1.25,17.6,0.44,3.79,Contorta Beds,Pre-event Beds,Bonenburg,new data
200,4.94,12.84,0.07,-27.8,1.52,16.4,0.48,3.73,Contorta Beds,Pre-event Beds,Bonenburg,new data
250,5.25,3.34,0.09,-27.6,2.45,14.6,0.61,3.42,Contorta Beds,Pre-event Beds,Bonenburg,new data
275,5.68,9.91,0.06,-27,1.19,17.3,0.44,4.18,Contorta Beds,Pre-event Beds,Bonenburg,new data
300,5.92,NA,NA,NA,NA,15.5,0.46,3.74,Contorta Beds,Pre-event Beds,Bonenburg,new data
300,6.16,22.19,0.06,-27.1,1.21,NA,NA,NA,Contorta Beds,Pre-event Beds,Bonenburg,new data
350,6.41,20.46,0.06,-27.5,1.14,15.1,0.51,3.92,Contorta Beds,Pre-event Beds,Bonenburg,new data
400,6.9,19.31,0.06,-27,1.12,15.9,0.44,3.94,Contorta Beds,Pre-event Beds,Bonenburg,new data
450,7.4,2.88,0.05,-25.4,0.69,14.2,0.85,3.54,Contorta Beds,Pre-event Beds,Bonenburg,new data
500,7.88,26.52,0.05,-27.6,1.83,13.5,0.53,3.52,Contorta Beds,Pre-event Beds,Bonenburg,new data
550,8.39,14.98,0.07,-29.2,2.35,17.8,0.46,4.12,Contorta Beds,Pre-event Beds,Bonenburg,new data
610,8.97,2.82,0.07,-27,1.76,15.7,0.49,3.3,Contorta Beds,Pre-event Beds,Bonenburg,new data
650,9.38,3.26,0.05,-27,0.93,14.5,0.74,2.81,Contorta Beds,Pre-event Beds,Bonenburg,new data
700,9.86,11.49,0.08,-28.4,1.99,18,0.39,3.91,Contorta Beds,Pre-event Beds,Bonenburg,new data
750,10.36,3.86,0.05,-25.1,1.01,17.4,0.58,3.59,Contorta Beds,Pre-event Beds,Bonenburg,new data
800,10.84,4.22,0.07,-24.8,1.01,18.5,0.45,3.89,Contorta Beds,Pre-event Beds,Bonenburg,new data
850,11.37,3.84,NA,-25.1,0.08,5,1.18,1.2,Contorta Beds,Pre-event Beds,Bonenburg,new data
900,11.82,3.93,0.07,-26.7,1.69,16.3,0.54,3.18,Contorta Beds,Pre-event Beds,Bonenburg,new data
920,12.04,3.68,0.07,-27.1,1.93,16.8,0.54,3.26,Contorta Beds,Pre-event Beds,Bonenburg,new data
952,12.36,4.77,0.07,-27,1.77,16.9,0.54,3.23,Contorta Beds,Pre-event Beds,Bonenburg,new data
980,12.62,5.02,0.06,-27.2,2.19,15.7,0.68,3.11,Contorta Beds,Pre-event Beds,Bonenburg,new data
1000,12.81,7.97,NA,-26.5,0.96,6.8,1.07,1.36,Contorta Beds,Pre-event Beds,Bonenburg,new data
1012,12.91,5.79,0.03,-27.6,2.37,13.6,0.74,2.74,Contorta Beds,Pre-event Beds,Bonenburg,new data
1018,13,4.31,0.07,-27.1,2.4,19.8,0.33,3.57,Contorta Beds,Pre-event Beds,Bonenburg,new data
1036,13.11,9.90,0.11,-27.7,4.85,10,0.63,2,Contorta Beds,Pre-event Beds,Bonenburg,new data
1042,13.23,8.95,0.07,-28.1,1.89,19.5,0.47,3.71,Contorta Beds,Pre-event Beds,Bonenburg,new data
1051,13.33,12.13,0.06,-25.1,0.77,23.5,0.32,3.59,Contorta Beds,Pre-event Beds,Bonenburg,new data
1075,13.55,10.06,0.06,-23,0.54,25.3,0.16,3.18,Triletes Beds,Event Beds,Bonenburg,new data
1100,13.89,6.98,0.05,-24,0.35,25.2,0.21,3.09,Triletes Beds,Event Beds,Bonenburg,new data
1150,14.24,8.07,0.05,-23.9,0.53,25.5,0.16,3.07,Triletes Beds,Event Beds,Bonenburg,new data
1200,14.65,9.80,0.05,-23.4,0.37,26.3,0.2,3.12,Triletes Beds,Event Beds,Bonenburg,new data
1250,15.07,8.03,0.05,-23.7,0.45,24.9,0.17,2.8,Triletes Beds,Event Beds,Bonenburg,new data
1300,15.5,13.19,0.03,-23.6,0.39,18.3,0.19,2.18,Triletes Beds,Event Beds,Bonenburg,new data
1350,15.9,13.52,0.04,-23.2,0.34,23.6,0.18,2.81,Triletes Beds,Event Beds,Bonenburg,new data
1400,16.29,11.76,0.04,-23.3,0.45,22.7,0.2,2.59,Triletes Beds,Event Beds,Bonenburg,new data
1450,16.72,8.82,0.04,-23.5,0.48,19.7,0.21,2.96,Triletes Beds,Event Beds,Bonenburg,new data
1500,17.15,10.82,0.03,-23.2,0.42,19.9,0.21,2.33,Triletes Beds,Event Beds,Bonenburg,new data
1550,17.55,9.02,0.05,-23.5,0.3,23.1,0.19,3.19,Triletes Beds,Event Beds,Bonenburg,new data
1600,17.94,5.98,0.05,-23.3,0.4,24.5,0.36,3.15,Triletes Beds,Event Beds,Bonenburg,new data
1650,18.38,11.26,NA,-23,0.15,10.8,0.24,1.36,Triletes Beds,Event Beds,Bonenburg,new data
1700,18.81,10.25,0.03,-23,0.36,15.6,0.22,1.86,Triletes Beds,Event Beds,Bonenburg,new data
1700,18.81,NA,NA,NA,NA,NA,NA,NA,Triletes Beds,Event Beds,Bonenburg,new data
1755,19.23,13.90,0.02,-23.2,0.22,12,0.25,1.45,Triletes Beds,Event Beds,Bonenburg,new data
1800,19.62,8.65,0.04,-24,0.36,22.3,0.21,2.71,Triletes Beds,Event Beds,Bonenburg,new data
1800,19.62,NA,NA,NA,NA,NA,NA,NA,Triletes Beds,Event Beds,Bonenburg,new data
1850,20.02,11.61,0.03,-23.4,0.34,20.9,0.19,2.35,Triletes Beds,Event Beds,Bonenburg,new data
1900,20.43,9.74,0.03,-24,0.36,16.6,0.33,1.84,Triletes Beds,Event Beds,Bonenburg,new data
1950,20.87,10.20,0.03,-23.8,0.36,16,0.25,1.79,Triletes Beds,Event Beds,Bonenburg,new data
2000,21.29,10.34,0.03,-24.8,0.46,17.9,0.22,2.22,Triletes Beds,Event Beds,Bonenburg,new data
2045,21.67,13.29,NA,-23.6,0.29,13.9,0.27,1.73,Triletes Beds,Event Beds,Bonenburg,new data
2095,22.11,10.36,0.04,-23.5,0.33,18.9,0.25,2.6,Triletes Beds,Event Beds,Bonenburg,new data
2150,22.5,13.17,0.02,-23.3,0.14,13.7,0.39,1.95,Triletes Beds,Event Beds,Bonenburg,new data
2150,22.5,NA,NA,-22.2,0.14,NA,NA,NA,Triletes Beds,Event Beds,Bonenburg,new data
2200,22.94,15.77,NA,-22.8,0.08,10.7,0.43,1.41,Triletes Beds,Event Beds,Bonenburg,new data
2200,22.94,NA,NA,NA,NA,NA,NA,NA,Triletes Beds,Event Beds,Bonenburg,new data
2200,22.94,NA,NA,NA,NA,NA,NA,NA,Triletes Beds,Event Beds,Bonenburg,new data
2250,23.31,15.85,0.02,-23.4,0.21,17.7,0.29,2.24,Triletes Beds,Event Beds,Bonenburg,new data
2300,23.73,7.25,0.03,-23.3,0.17,23.5,0.21,2.3,Triletes Beds,Event Beds,Bonenburg,new data
2350,24.17,13.05,0.03,-23.3,0.24,15.3,0.35,2.21,Triletes Beds,Event Beds,Bonenburg,new data
2400,24.65,9.46,0.04,-23.6,0.55,20.2,0.37,2.91,Triletes Beds,Event Beds,Bonenburg,new data
2450,25.03,13.41,0.03,-23.3,0.31,16.8,0.37,2.32,Triletes Beds,Event Beds,Bonenburg,new data
2500,25.4,15.39,0.02,-23.5,0.12,13.4,0.56,1.93,Triletes Beds,Event Beds,Bonenburg,new data
2550,25.81,14.99,0.03,-23.2,0.15,18.2,0.26,2.47,Triletes Beds,Event Beds,Bonenburg,new data
2550,25.81,NA,NA,-22.5,0.14,NA,NA,NA,Triletes Beds,Event Beds,Bonenburg,new data
2600,26.25,15.22,0.03,-23.3,0.15,NA,NA,NA,Triletes Beds,Event Beds,Bonenburg,new data
2600,26.25,NA,NA,-22.7,0.16,16.8,0.3,2.2,Triletes Beds,Event Beds,Bonenburg,new data
2650,26.73,14.80,0.02,-23.4,0.14,13.9,0.37,2.03,Triletes Beds,Event Beds,Bonenburg,new data
2650,26.73,NA,NA,-22.6,0.13,NA,NA,NA,Triletes Beds,Event Beds,Bonenburg,new data
2700,27.2,12.38,0.03,-23.4,0.18,15.7,0.41,2.64,Triletes Beds,Event Beds,Bonenburg,new data
2750,27.47,11.23,0.02,-23.2,0.11,13.1,0.47,1.91,Triletes Beds,Event Beds,Bonenburg,new data
2750,27.47,NA,NA,-22.7,0.1,13.2,0.39,1.77,Triletes Beds,Event Beds,Bonenburg,new data
2770,27.65,11.99,0.02,-23.5,0.17,14.6,0.37,2.46,Triletes Beds,Event Beds,Bonenburg,new data
2800,27.88,12.24,0.22,-23.1,0.19,18.8,0.34,2.62,Triletes Beds,Event Beds,Bonenburg,new data
2820,28.09,7.27,0.03,-23,0.24,13.3,0.42,1.92,Triletes Beds,Event Beds,Bonenburg,new data
2850,28.29,11.59,0.02,-23.2,0.08,NA,NA,NA,Triletes Beds,Event Beds,Bonenburg,new data
2850,28.29,NA,NA,-22.3,0.08,NA,NA,NA,Triletes Beds,Event Beds,Bonenburg,new data
2890,28.69,3.78,0.02,-22.8,0.09,12.3,0.37,1.65,Triletes Beds,Event Beds,Bonenburg,new data
2920,28.93,8.96,0.02,-24.2,0.18,16.4,0.39,2.22,Triletes Beds,Event Beds,Bonenburg,new data
2950,29.16,3.97,0.02,-22.9,0.12,16.3,0.45,2.38,Triletes Beds,Event Beds,Bonenburg,new data
2970,29.39,9.19,0.02,-22.6,0.09,14,0.41,2,Triletes Beds,Event Beds,Bonenburg,new data
2970,29.39,NA,NA,-22.1,0.1,NA,NA,NA,Triletes Beds,Event Beds,Bonenburg,new data
3000,29.72,8.22,0.04,-27.5,0.72,16.5,0.25,2.15,Psilonotenton Formation,Post-event Beds,Bonenburg,new data
3020,29.85,17.00,0.04,-27.7,0.71,15.3,0.26,2.28,Psilonotenton Formation,Post-event Beds,Bonenburg,new data
3040,30.02,10.66,0.06,-28.8,1.46,20.1,0.28,3.46,Psilonotenton Formation,Post-event Beds,Bonenburg,new data
3060,30.16,29.33,0.03,-26.6,0.56,14.3,0.27,2.63,Psilonotenton Formation,Post-event Beds,Bonenburg,new data
3100,30.56,92.64,0.01,-28,2.29,2.3,0.1,0.33,Psilonotenton Formation,Post-event Beds,Bonenburg,new data
3100,30.56,NA,NA,NA,NA,NA,NA,NA,Psilonotenton Formation,Post-event Beds,Bonenburg,new data
3125,30.79,65.18,0.04,-29.2,3.14,7.4,0.22,1.17,Psilonotenton Formation,Post-event Beds,Bonenburg,new data
3140,30.97,31.17,0.06,-28.6,3.75,11.6,0.24,1.93,Psilonotenton Formation,Post-event Beds,Bonenburg,new data
3170,31.17,57.87,0.02,-26.9,0.6,9.8,0.15,1.5,Psilonotenton Formation,Post-event Beds,Bonenburg,new data
3200,31.55,12.82,0.05,-26.9,1.06,22.3,0.24,3.41,Psilonotenton Formation,Post-event Beds,Bonenburg,new data
3220,31.72,9.27,0.11,-30,5.47,15,0.32,3.07,Psilonotenton Formation,Post-event Beds,Bonenburg,new data
3250,32.04,67.60,NA,-27.4,0.66,6.9,0.18,1.27,Psilonotenton Formation,Post-event Beds,Bonenburg,new data
3270,32.23,84.59,0.01,NA,NA,3.4,0.09,0.79,Psilonotenton Formation,Post-event Beds,Bonenburg,new data
3300,32.53,52.74,0.04,-26.3,0.88,11.4,0.25,1.87,Psilonotenton Formation,Post-event Beds,Bonenburg,new data
3315,32.67,60.21,0.02,-26.1,0.5,9,0.22,1.56,Psilonotenton Formation,Post-event Beds,Bonenburg,new data
3350,33.1,75.78,NA,-26,0.43,6.2,0.15,1.12,Psilonotenton Formation,Post-event Beds,Bonenburg,new data
3375,33.36,80.94,0.01,-26.2,0.89,5.3,0.12,0.93,Psilonotenton Formation,Post-event Beds,Bonenburg,new data
