SampleID,terrestrial,aquatic,Wood ,Cuticle ,Plant Tissue,AOM,pollen,spores,Botryococcus,Reference
3550,78.5,21.5,0.4681528662,0,0,0.4617834395,0.025477707,0.0191082803,0,new data
3400,88.2,11.8,0.9076923077,0,0,0.0892307692,0.0030769231,0,0,new data
3300,88.3,11.7,0.7436708861,0.0063291139,0.0348101266,0.1708860759,0,0.003164557,0,new data
3200,81,19,0.6457680251,0,0.0031347962,0.2695924765,0.0470219436,0.0094043887,0,new data
3125,87,13,0.2101910828,0,0,0.7420382166,0.0286624204,0,0.0095541401,new data
3100,93.5,6.5,0.4597014925,0,0,0.4417910448,0.0059701493,0,0.0029850746,new data
3060,82.8,17.2,0.476635514,0,0.0031152648,0.3208722741,0.0591900312,0.0186915888,0,new data
3040,90.6,9.4,0.1988130564,0,0,0.649851632,0.059347181,0.0029673591,0.0059347181,new data
3000,81.9,18.1,0.2424242424,0.0090909091,0.0060606061,0.6303030303,0.0181818182,0.003030303,0,new data
2970,,,0.6168224299,0.0093457944,0,0.3146417445,0.031152648,0.0062305296,0.0093457944,new data
2950,86.3,13.7,0.8286604361,0.0809968847,0,0.0591900312,0.0062305296,0.0186915888,0.0062305296,new data
2850,78,22,0.9478527607,0.009202454,0.0030674847,0.0153374233,0.0030674847,0.0153374233,0.0030674847,new data
2550,96.7,3.3,0.8513931889,0.0061919505,0,0.0557275542,0.0371517028,0.0433436533,0.0061919505,new data
2450,91.5,8.5,0.8943894389,0.0099009901,0.00330033,0.0297029703,0.0099009901,0.0528052805,0,new data
2085,95.1,4.9,0.8498402556,0.0191693291,0.0031948882,0.0511182109,0.0223642173,0.054313099,0,new data
1800,96.1,3.9,0.8543046358,0.0298013245,0,0.0430463576,0,0.0662251656,0.0033112583,new data
1650,94.4,5.6,0.8794788274,0.009771987,0.003257329,0.0749185668,0.006514658,0.0260586319,0,new data
1450,95.7,4.3,0.8633540373,0.0279503106,0.0093167702,0.0372670807,0.0217391304,0.0372670807,0,new data
1150,96.5,3.5,0.6766666667,0.07,0.01,0.1333333333,0.0233333333,0.0766666667,0.0066666667,new data
1100,48.8,51.2,0.4110032362,0.0485436893,0,0.1909385113,0.0388349515,0.1326860841,0.142394822,new data
1075,96.6,3.4,0.7614379085,0.0196078431,0.0032679739,0.0620915033,0.0261437908,0.1111111111,0,new data
1051,59.3,40.7,0.7368421053,0.0154798762,0.0030959752,0.0959752322,0.0371517028,0.0712074303,0.0247678019,new data
1042,46.5,53.5,0.248427673,0.0125786164,0.0062893082,0.2295597484,0.248427673,0.0031446541,0,new data
1036,60.7,39.3,0.179331307,0.0151975684,0.009118541,0.5075987842,0.1458966565,0.0060790274,0.0060790274,new data
1018,72.8,27.2,0.3147540984,0.0098360656,0.0032786885,0.3409836066,0.2131147541,0.0032786885,0.006557377,new data
1012,81.7,18.3,0.3130699088,0.0243161094,0.0182370821,0.4012158055,0.1732522796,0.0030395137,0.0030395137,new data
1000,74,26,0.3304093567,0.014619883,0.0029239766,0.418128655,0.1315789474,0.0029239766,0.0058479532,new data
980,85.1,14.9,0.4304635762,0.0099337748,0.0066225166,0.2913907285,0.1887417219,0.0165562914,0.0132450331,new data
952,72.3,27.7,0.4342507645,0.0244648318,0.003058104,0.2018348624,0.2018348624,0.0214067278,0.0152905199,new data
920,82.3,17.7,0.3876923077,0.0123076923,0.0061538462,0.2184615385,0.2676923077,0,0.0184615385,new data
900,72.3,27.7,0.375,0.0159574468,0.0079787234,0.204787234,0.2872340426,0.0026595745,0.0292553191,new data
750,81.3,18.7,0.6717791411,0.0245398773,0.0030674847,0.1257668712,0.1349693252,0.0122699387,0.0214723926,new data
730,,,0.6288343558,0.0030674847,0.0153374233,0.2300613497,0.0460122699,0.0061349693,0.0153374233,new data
610,65.3,34.7,0.5693641618,0.0028901734,0.0028901734,0.1387283237,0.1502890173,0.0086705202,0.0028901734,new data
600,,,0.522875817,0,0.0098039216,0.3921568627,0.0163398693,0.0098039216,0,new data
520,,,0.8018292683,0.0030487805,0.0182926829,0.1006097561,0.0335365854,0,0.0091463415,new data
450,93.4,6.6,0.6770186335,0.0155279503,0.0062111801,0.0559006211,0.2204968944,0.0217391304,0.0031055901,new data
300,81.8,18.2,0.4460641399,0.0087463557,0.0087463557,0.1807580175,0.2536443149,0.0058309038,0.0087463557,new data
150,88.6,11.4,0.5,0.024691358,0.0216049383,0.0740740741,0.3333333333,0.0092592593,0.0061728395,new data
0,87.4,12.6,0.4625,0.009375,0.00625,0.375,0.1,0.003125,0.00625,new data
