IODP Exp 318 Site,Hole,Core ,Sector,depth in core (cm),depth (mbsf),age (Ma) (ref),total Protop cysts,Protoperidinioid indet,Brigantedinium spp.,Brigantedinium pyneii,Brigantedinium sp.1 paratabulation visible,cf Cryodinium sp.,Lejeunecysta sp/fallax,Lejeun very long small horns/attentuata,Lejeunecysta broad cingulum (sp.1 Hannah)/cowiei,cf. Islandinium sp.,Islandinium cf brevispinosum,Paleocystodinium sp.,Selenopemphix antarctica,Selenopemphix undulata,Selenopemphix nephroides,Selenopemphix cf dioneacysta,Selenop sp.1 (microreticulate),"Selen nephroides (very small size) could be minys (Harland, Pudsey, 2002)",Distatodinium sp.,Impagidinium spp,Impagid aculeatum,Impag cantabrigiense,Impagidinium pacificum,Impagidinium pallidum ,Impagid cf paradoxum,Impagidinium patulum,Impagidinium elungatum,Impag cf victorianum,Impagidinium sp.1 (rounded septa),Impagid cf. plicatum,Impagidinium tot,Hystricosperopsis obscura,Invertocysta tabulata,Nematosphaeropsis labyrinthus,Operculodinium cf janduchenei ,Operculodinium piaseckii ,Operculodinium sp. ,Operculodinium cf centrocarpum (ANDRILL),total Opercul,Batiacasphaera spp,Batiacasphera microreticulate,Batiacasphera minuta,Batiacasphera sphaerica,Batiacasphaera tot,Cerebrocysta spp.,Pyxidinopsis spp.,cf Habibacysta, Spiniferites/Achomosphaera,Reticulatosphaera actinocoronata,cf Ataxiodinium, cf Labyrinthodinium,Unipontidinium aquaeductum,reworked dinocysts,dinocyst indet,in situ dinocysts/gram,total in situ counted dino,NOTES
U1356,A,11R,1W,20-22,95.61,10.76225654,62.22,0.00,24.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.78,0.00,0.00,0.00,0.00,0.00,2.22,17.78,0.00,0.00,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,2.22,0.00,0.00,0.00,2.22,4.44,0.00,0.00,0.00,4.44,0.00,0.00,0.00,4.44,0.00,2.22,0.00,0.00,6.14,2.22,272.61,45.00,
U1356,A,12R,2W,20-22,106.61,10.80821656,21.77,2.42,4.03,0.00,0.00,0.00,0.81,0.00,0.00,0.00,0.00,0.00,14.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.81,0.00,0.00,0.00,0.00,0.00,1.61,0.00,0.00,15.32,0.81,1.61,0.00,4.03,6.45,9.68,0.00,5.65,4.03,19.35,3.23,5.65,1.61,0.00,0.00,18.55,0.00,0.00,1.19,6.45,340.27,122.00,
U1356,A,13R,1W,20-22,114.71,10.84205986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barren
U1356,A,13R,2W,40-42,116.41,10.84916277,9.52,4.76,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,2.38,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,7.14,4.76,16.67,0.00,4.76,2.38,0.00,0.00,0.00,0.00,0.00,4.44,0.00,100.00,42.00,
U1356,A,14R,1W,20-22,124.31,10.88217042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barren
U1356,A,14R,3W,20-22,127.31,10.89470498,46.15,3.85,9.62,1.92,0.00,0.00,1.92,0.00,3.85,0.00,0.00,0.00,15.38,0.00,9.62,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,5.77,0.00,0.00,0.00,0.00,0.00,0.00,9.62,0.00,0.00,15.38,5.77,0.00,0.00,0.00,5.77,5.77,0.00,3.85,7.69,17.31,3.85,0.00,0.00,0.00,0.00,1.92,0.00,0.00,0.00,0.00,149.30,52.00,
U1356,A,14R,5W,20-22,129.81,10.90515044,83.82,5.88,25.00,19.12,0.00,0.00,1.47,0.00,0.00,0.00,0.00,0.00,1.47,0.00,14.71,0.00,0.00,16.18,0.00,1.47,0.00,0.00,0.00,1.47,0.00,0.00,0.00,0.00,0.00,0.00,2.94,0.00,0.00,2.94,1.47,0.00,0.00,2.94,4.41,1.47,0.00,2.94,0.00,4.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,1.47,132.59,68.00,
U1356,A,15R,2W,20-22,135.51,13.42287387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barren
U1356,A,15R,4W,20-22,138.51,13.4526513,43.48,0.00,13.04,8.70,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,13.04,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,13.04,0.00,0.00,0.00,4.35,0.00,0.00,4.35,8.70,0.00,17.39,4.35,0.00,21.74,0.00,4.35,0.00,4.35,0.00,0.00,0.00,0.00,34.43,4.35,,23.00,Almost barren
U1356,A,15R,6W,20-22,141.01,13.47746582,84.31,3.92,7.84,29.41,0.00,0.00,1.96,0.00,1.96,1.96,0.00,0.00,11.76,13.73,7.84,3.92,0.00,0.00,0.00,0.00,0.00,1.96,0.00,1.96,1.96,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,1.96,0.00,0.00,0.00,1.96,1.96,0.00,0.00,0.00,0.00,0.00,0.00,3.92,0.00,1.96,0.00,0.00,0.00,0.00,23.33,0.00,148.36,51.00,
