Site,Hole,Core,Sector,Depth in core,Depth mbsf,age,GDGT-0 - 1302,GDGT-1 - 1300,GDGT-2 - 1298,GDGT-3 - 1296,GDGT-4 - 1296,GDGT-4' - 1296',1050,1036,1022,sum iso-GDGT,[gdgt0],[gdgt-1],[gdgt-2],[gdgt-3],[cren],[cren'],TEX,SST TEX L (0-200m),SST TEX L (0m),BIT,Methan index,GDGT2/GDGT3,GDGT-0/cren,Ring index,delta R
U1356,A,11R,2W,20-22,97.1,10.67,2.31E+08,9.70E+06,3.95E+06,1.34E+06,2.12E+08,2.14E+06,4.97E+06,5.91E+06,7.30E+06,4.60E+08,0.50,0.02,0.01,0.00,0.46,0.00,0.43,6.7,7.8,0.1,0.07,0.75,1.09,1.91,-0.03
U1356,A,12R,3W,20-22,108.1,10.81,2.02E+08,6.19E+06,3.12E+06,1.20E+06,1.79E+08,2.02E+06,3.05E+06,3.65E+06,4.55E+06,3.94E+08,0.51,0.02,0.01,0.00,0.45,0.01,0.51,9.3,11.3,0.1,0.05,0.72,1.13,1.88,0.17
U1356,A,13R,2W,20-22,116.2,10.85,1.29E+08,7.15E+06,2.80E+06,6.86E+05,1.11E+08,1.67E+06,6.55E+06,3.06E+06,4.83E+06,2.52E+08,0.51,0.03,0.01,0.00,0.44,0.01,0.42,6.7,7.8,0.1,0.09,0.80,1.16,1.84,0.01
U1356,A,15R,1W,20-22,134.0,13.41,4.09E+07,1.36E+06,6.04E+05,1.98E+05,3.28E+07,6.65E+05,6.96E+05,9.02E+05,1.54E+06,7.65E+07,0.53,0.02,0.01,0.00,0.43,0.01,0.52,8.0,9.5,0.1,0.06,0.75,1.25,1.79,0.29
U1356,A,15R,3W,20-22,137.0,13.44,1.45E+08,5.53E+06,2.06E+06,8.84E+05,1.23E+08,1.09E+06,1.68E+06,1.80E+06,3.51E+06,2.78E+08,0.52,0.02,0.01,0.00,0.44,0.00,0.42,4.9,5.4,0.1,0.06,0.70,1.18,1.83,0.02
U1356,A,15R,5W,20-22,140.0,13.47,1.93E+08,6.67E+06,2.73E+06,1.37E+06,1.83E+08,1.88E+06,2.61E+06,2.33E+06,4.97E+06,3.89E+08,0.50,0.02,0.01,0.00,0.47,0.00,0.47,5.8,6.7,0.1,0.06,0.67,1.05,1.94,0.02
U1356,A,17R,2W,20-22,154.7,13.61,1.79E+08,8.26E+06,4.79E+06,1.14E+06,1.48E+08,2.26E+06,3.47E+06,2.91E+06,4.87E+06,3.43E+08,0.52,0.02,0.01,0.00,0.43,0.01,0.50,12.1,15.1,0.1,0.09,0.81,1.21,1.81,0.22
U1356,A,17R,4W,18-20,157.7,13.64,2.07E+08,7.61E+06,2.75E+06,1.07E+06,1.66E+08,2.01E+06,6.62E+04,5.36E+04,7.87E+04,3.86E+08,0.54,0.02,0.01,0.00,0.43,0.01,0.43,4.7,5.1,0.0,0.06,0.72,1.25,1.78,0.10
U1356,A,18R,1W,18-20,162.7,13.69,1.27E+08,6.75E+06,3.06E+06,6.86E+05,9.79E+07,1.75E+06,4.60E+06,3.96E+06,7.04E+06,2.37E+08,0.54,0.03,0.01,0.00,0.41,0.01,0.45,8.9,10.8,0.1,0.10,0.82,1.30,1.74,0.17
U1356,A,19R,1W,20-22,172.3,13.79,9.69E+07,6.46E+06,3.09E+06,5.42E+05,7.89E+07,1.95E+06,3.00E+07,4.18E+06,6.34E+06,1.88E+08,0.52,0.03,0.02,0.00,0.42,0.01,0.46,10.0,12.2,0.3,0.11,0.85,1.23,1.80,0.15
U1356,A,20R,1W,19-21,181.9,13.88,8.84E+07,3.83E+06,1.65E+06,4.95E+05,7.84E+07,9.70E+05,2.96E+06,2.56E+06,3.81E+06,1.74E+08,0.51,0.02,0.01,0.00,0.45,0.01,0.45,7.7,9.2,0.1,0.07,0.77,1.13,1.88,0.04
U1356,A,21R,1W,22-24,191.5,13.98,2.86E+08,1.39E+07,6.22E+06,1.94E+06,2.83E+08,4.74E+06,9.99E+06,8.01E+06,9.86E+06,5.96E+08,0.48,0.02,0.01,0.00,0.47,0.01,0.48,8.2,9.8,0.1,0.07,0.76,1.01,1.99,0.00
U1356,A,22R,1W,22-24,201.1,14.07,2.33E+08,1.07E+07,5.46E+06,1.41E+06,2.04E+08,1.77E+06,8.09E+06,9.62E+06,9.91E+06,4.56E+08,0.51,0.02,0.01,0.00,0.45,0.00,0.45,10.3,12.6,0.1,0.08,0.79,1.14,1.86,0.05
U1356,A,23R,1W,21-23,210.7,14.16,1.77E+07,1.25E+06,1.24E+06,7.85E+04,8.53E+06,3.31E+05,6.92E+06,2.87E+06,4.50E+06,2.91E+07,0.61,0.04,0.04,0.00,0.29,0.01,0.57,,,0.6,0.22,0.94,2.08,1.35,0.87
U1356,A,24R,1W,21-23,220.3,14.25,9.49E+07,4.38E+06,1.83E+06,5.67E+05,8.34E+07,9.43E+05,2.82E+06,3.87E+06,4.75E+06,1.86E+08,0.51,0.02,0.01,0.00,0.45,0.01,0.43,7.2,8.5,0.1,0.07,0.76,1.14,1.87,0.01
U1356,A,30R,3W,20-22,280.7,14.8,3.22E+07,3.98E+06,5.58E+06,7.28E+04,2.19E+06,1.24E+05,1.43E+06,1.22E+06,2.32E+06,4.41E+07,0.73,0.09,0.13,0.00,0.05,0.00,0.59,,,0.7,0.81,0.99,14.70,0.56,1.74
U1356,A,30R,5W,19-21,283.7,14.86,1.76E+06,5.46E+06,3.65E+06,3.91E+05,2.99E+07,2.29E+06,1.24E+07,1.55E+07,3.21E+07,4.35E+07,0.04,0.13,0.08,0.01,0.69,0.05,0.54,,,0.7,0.23,0.90,0.06,3.28,-1.15
U1356,A,33R,1W,29-31,306.7,15.26,3.60E+06,8.42E+04,3.64E+04,7.52E+03,6.10E+05,2.50E+04,1.33E+06,6.24E+05,9.27E+05,4.36E+06,0.83,0.02,0.01,0.00,0.14,0.01,0.45,,,0.8,0.17,0.83,5.90,0.62,1.29
U1356,A,34R,2W,20-22,317.6,15.45,3.46E+07,1.01E+06,4.43E+05,7.77E+04,5.50E+06,1.81E+05,4.43E+06,3.88E+06,7.71E+06,4.18E+07,0.83,0.02,0.01,0.00,0.13,0.00,0.41,,,0.7,0.21,0.85,6.29,0.59,1.24
U1356,A,35R,1W,21-23,325.7,15.59,4.47E+07,2.88E+06,1.78E+06,1.78E+05,1.45E+07,7.52E+05,5.92E+06,4.71E+06,1.65E+05,6.48E+07,0.69,0.04,0.03,0.00,0.22,0.01,0.48,,,0.4,0.24,0.91,3.08,1.05,0.95
U1356,A,35R,3W,20-22,328.7,15.65,1.52E+07,6.47E+05,3.80E+05,4.52E+04,3.64E+06,1.62E+05,4.19E+06,2.87E+06,1.15E+05,2.01E+07,0.76,0.03,0.02,0.00,0.18,0.01,0.48,,,0.7,0.22,0.89,4.18,0.83,1.14
U1356,A,39R,2W,20-22,365.3,16.29,6.36E+06,3.04E+05,1.86E+05,3.60E+04,2.22E+06,1.02E+05,4.92E+06,1.67E+06,2.74E+06,9.21E+06,0.69,0.03,0.02,0.00,0.24,0.01,0.52,,,0.8,0.18,0.84,2.86,1.09,0.98
U1356,A,40R,1W,20-22,373.4,16.43,4.19E+07,4.19E+06,4.01E+06,2.83E+05,2.28E+07,1.36E+06,8.59E+06,1.23E+07,1.05E+07,7.45E+07,0.56,0.06,0.05,0.00,0.31,0.02,0.57,,,0.6,0.26,0.93,1.84,1.47,0.77
